REST_ID,REST_RANK,REST_PLACEREVIEWCOUNT,REST_NAME,REST_TEL,REST_ADDRESS,REST_THUMURL,REST_BIZHOURINFO,REST_X,REST_Y
11705045,1,4,롯데렌터카 대전지점,042-252-8000,대전광역시 서구 용문동 282-7,https://ldb-phinf.pstatic.net/20220608_99/1654691330178hNfMa_JPEG/1654691272545.jpg,매일 06:00~22:00,127.3938473,36.3325319
34994463,2,1,롯데렌터카 세종지점,044-868-8933,세종특별자치시 나성동 723,https://ldb-phinf.pstatic.net/20160831_5/14726097863571krQd_JPEG/176781514644987_0.jpeg,평일 08:30~17:30,127.2625014,36.4793087
1628515754,3,1,롯데렌터카 논산영업소,,충청남도 논산시 내동  399-1,,,127.0970320,36.1861332
17344875,4,4,롯데렌터카 청주지점,043-213-8000,충청북도 청주시 흥덕구 복대동 834-7,https://ldb-phinf.pstatic.net/20160831_51/1472615814902XE25m_JPEG/176781528674187_0.jpeg,"평일 08:00~18:00 | 주말 08:00~20:00 금요일~일요일, 휴일",127.4514046,36.6346698
1605825649,5,7,롯데렌터카 전주KTX지점,063-245-8000,전라북도 전주시 덕진구 우아동3가 752-57 1층,https://ldb-phinf.pstatic.net/20191105_116/1572933880128vtXyx_JPEG/V9tZ2S8MMcblPeAMwmDNiMOT.jpg,평일 08:30~18:00 | 공휴일 08:30~20:00 | 주말 08:30~20:00,127.1604407,35.8487923
32489814,6,5,롯데렌터카 천안아산KTX지점,041-549-0030,충청남도 아산시 배방읍 장재리 1767,https://ldb-phinf.pstatic.net/20160831_108/1472615705939cJIhe_JPEG/176781528524887_4.jpeg,"평일 08:30~18:00 연중무휴 | 주말 08:30~18:00 금요일~일요일, 휴일, 연중무휴",127.1075644,36.7955244
1301141370,7,10,롯데렌터카 익산KTX지점,063-851-8000,전라북도 익산시 중앙동2가 14-47 1층 롯데렌터카,,매일 08:30~18:00,126.9468788,35.9387206
11704741,8,5,롯데렌터카 천안지점,041-563-8000,충청남도 천안시 서북구 두정동 91,https://ldb-phinf.pstatic.net/20160831_57/14726155728017x576_PNG/176781528272126_0.png,매일 08:30~18:00,127.1498384,36.8317749
1856748122,9,7,롯데렌터카 전주지점(장기렌터카 전담),063-244-8000,전라북도 전주시 덕진구 팔복동3가 81-1,https://ldb-phinf.pstatic.net/20191024_196/1571870033521FQzYF_JPEG/KsI8OphwyRnHAesdYj3CtHTs.jpg,평일 08:30~18:00 단기렌터카는 전주KTX지점을 이용하세요,127.0974717,35.8409143
1660156746,10,2,롯데렌터카 경북북부SP협의회,,경상북도 상주시 낙양동  123-21,,,128.1525623,36.4110750
20521152,11,6,롯데렌터카 군산지점,063-452-8000,전라북도 군산시 수송동 53-6,https://ldb-phinf.pstatic.net/20160831_119/1472606621025iwXIR_PNG/176781505360219_0.png,매일 08:30~18:00,126.7160583,35.9558476
1994331750,12,3,롯데렌터카 김천구미KTX지점,054-434-8002,경상북도 김천시 남면 옥산리 787-1,https://ldb-phinf.pstatic.net/20191107_135/1573106744348LHIHv_JPEG/MrZusKgzaqCTOJsrnW71o5PM.jpg,평일 08:30~20:00 | 주말 08:30~18:00 | 공휴일 08:30~18:00,128.1807667,36.1133582
659750629,13,11,롯데렌터카 롯데렌탈오토옥션,1899-4751,경기도 안성시 원곡면 지문리 560-1,,,127.1316232,37.0467251
20037795,14,1,롯데렌터카 충주지점(장기렌터카 전담),043-842-8002,충청북도 충주시 봉방동 169-5,https://ldb-phinf.pstatic.net/20160831_136/1472615949721LKEPL_JPEG/176781528929023_0.jpeg,매일 08:30~18:00,127.9114819,36.9755754
11705112,15,3,롯데렌터카 평택지점,031-667-8000,경기도 평택시 서정동 318-9,,매일 08:30~19:00,127.0541997,37.0566628
20388498,16,3,롯데렌터카 당진지점,041-354-8001,충청남도 당진시 수청동 999 G1파크빌 206호,https://ldb-phinf.pstatic.net/20160831_181/1472609025607l2kc9_JPEG/176781513364648_0.jpeg,평일 08:30~18:00 | 주말 휴무,126.6470111,36.9007432
11705080,17,5,롯데렌터카 구미지점,054-475-8000,경상북도 구미시 진평동 1026-4,,매일 08:30~18:00,128.4185931,36.1065985
20388817,18,7,롯데렌터카 오산지점,031-373-8006,경기도 오산시 오산동 881-9 씨에프코아빌딩 1층 108호,https://ldb-phinf.pstatic.net/20220831_174/16619317704121sBzd_JPEG/20220831_164210.jpg,매일 08:30~18:00,127.0676909,37.1446660
20388764,19,1,롯데렌터카 서산지점,041-855-8000,충청남도 서산시 석림동 764-2 원진빌딩 2층,https://ldb-phinf.pstatic.net/20220511_24/1652254846637Dh9kg_PNG/2.png,매일 08:30~18:00,126.4595849,36.7716487
1204451244,20,10,롯데렌터카 수원지점,031-215-8181,경기도 수원시 팔달구 인계동 468 KBS 수원방송센터 입구 1층 (KBS아트홀),https://ldb-phinf.pstatic.net/20220126_121/1643180844819Ou7oJ_PNG/getImage.png,월요일 08:00~20:00 연중무휴 | 화요일 08:00~20:00 연중무휴 | 수요일 08:00~20:00 연중무휴 | 목요일 08:00~20:00 연중무휴 | 금요일 07:00~21:00 연중무휴 | 주말 07:00~21:00 연중무휴 | 공휴일 07:00~21:00 연중무휴,127.0306467,37.2679435
11705115,21,6,롯데렌터카 안산지점,031-407-8000,경기도 안산시 단원구 고잔동 527-2 센터하임 오피스텔 1층 108호,https://ldb-phinf.pstatic.net/20220721_91/1658380708693u64zP_JPEG/85B81B1E-B942-480D-849A-B4F3012C3AF1.jpeg,매일 07:30~19:30,126.8323529,37.3202600
